id,employer,scheme_name,category,disciplines,opening_date,deadline,rolling_basis,locations,url,status,notes,verified,last_verified,last_scraped
rolls-royce-grad-2027,Rolls-Royce,Engineering Graduate Scheme,Graduate Scheme,Aerospace Engineering;Mechanical Engineering;Electrical & Electronics;Software Engineering;Systems Engineering,2026-09-01,2026-12-05,FALSE,Derby;Bristol,https://careers.rolls-royce.com/united-kingdom/graduates,open,,TRUE,2026-06-24,2026-06-24
bae-systems-grad-2027,BAE Systems,Engineering Graduate Scheme,Graduate Scheme,Aerospace Engineering;Mechanical Engineering;Electrical & Electronics;Chemical Engineering;Software Engineering;Systems Engineering,2026-09-15,2027-01-15,FALSE,Various UK,https://www.baesystems.com/en/careers/careers-in-the-uk/graduates,open,,TRUE,2026-06-24,2026-06-24
arup-grad-2027,Arup,Graduate Engineer Programme,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics,,,TRUE,London;Various UK,https://www.arup.com/careers/graduates,rolling,Closes when full — typically fills by November. Apply early.,TRUE,2026-06-24,2026-06-24
airbus-grad-2027,Airbus,Engineering Graduate Programme,Graduate Scheme,Aerospace Engineering;Mechanical Engineering;Electrical & Electronics;Systems Engineering;Software Engineering,2026-09-01,2026-12-31,FALSE,Bristol;Broughton,https://www.airbus.com/en/careers/students-and-graduates,not_yet_open,,TRUE,,
gkn-aerospace-grad-2027,GKN Aerospace,Graduate Development Programme,Graduate Scheme,Aerospace Engineering;Mechanical Engineering;Systems Engineering,2026-09-01,2027-01-31,FALSE,Birmingham;Bristol,https://www.gknaerospace.com/careers/,not_yet_open,,TRUE,,
thales-grad-2027,Thales,Graduate Development Programme,Graduate Scheme,Systems Engineering;Electrical & Electronics;Software Engineering;Aerospace Engineering,2026-09-01,2027-01-31,FALSE,Glasgow;London;Bristol,https://www.thalesgroup.com/en/united-kingdom/careers,not_yet_open,,TRUE,,
leonardo-grad-2027,Leonardo,Engineering Graduate Scheme,Graduate Scheme,Aerospace Engineering;Systems Engineering;Electrical & Electronics;Software Engineering,2026-09-01,2027-01-31,FALSE,Edinburgh;Yeovil,https://uk.leonardocompany.com/en/-/careers,not_yet_open,,TRUE,,
mbda-grad-2027,MBDA,Engineering Graduate Scheme,Graduate Scheme,Aerospace Engineering;Systems Engineering;Mechanical Engineering;Electrical & Electronics;Software Engineering,2026-09-01,2026-12-31,FALSE,Stevenage;Bristol,https://www.mbda-systems.com/careers/graduates/,not_yet_open,,TRUE,,
qinetiq-grad-2027,QinetiQ,Graduate Scheme,Graduate Scheme,Systems Engineering;Aerospace Engineering;Electrical & Electronics;Software Engineering;Mechanical Engineering,2026-08-01,2026-12-31,FALSE,Farnborough,https://careers.qinetiq.com/early-careers,not_yet_open,Fills quickly — early application recommended.,TRUE,,
babcock-grad-2027,Babcock International,Graduate Engineering Programme,Graduate Scheme,Systems Engineering;Mechanical Engineering;Electrical & Electronics;Civil Engineering,2026-10-01,2027-02-28,FALSE,Plymouth;Bristol,https://careers.babcock.com/early-careers/,not_yet_open,,TRUE,,
national-grid-grad-2027,National Grid,Engineering Graduate Programme,Graduate Scheme,Electrical & Electronics;Systems Engineering;Renewable Energy;Mechanical Engineering,2026-09-01,2026-11-30,FALSE,Warwick;London,https://careers.nationalgrid.com/early-careers,not_yet_open,Historically closes early — apply in September.,TRUE,,
sse-grad-2027,SSE,Graduate Engineer,Graduate Scheme,Electrical & Electronics;Renewable Energy;Civil Engineering;Systems Engineering,2026-09-01,2027-01-31,FALSE,Perth;Various UK,https://www.sse.com/careers/graduates-and-apprentices/,not_yet_open,,TRUE,,
edf-energy-grad-2027,EDF Energy,Engineering Graduate Programme,Graduate Scheme,Electrical & Electronics;Mechanical Engineering;Civil Engineering;Chemical Engineering,2026-09-01,2027-01-31,FALSE,Gloucester;London,https://www.edfenergy.com/careers/graduates,not_yet_open,,TRUE,,
orsted-grad-2027,Orsted,Engineering Graduate Programme,Graduate Scheme,Renewable Energy;Mechanical Engineering;Electrical & Electronics;Civil Engineering,2026-09-01,2026-12-31,FALSE,London,https://orsted.com/en/careers/students-and-graduates,not_yet_open,,TRUE,,
scottishpower-grad-2027,ScottishPower,Graduate Engineer,Graduate Scheme,Renewable Energy;Electrical & Electronics;Civil Engineering,2026-10-01,2027-01-31,FALSE,Glasgow,https://careers.scottishpower.com/early-careers,not_yet_open,,TRUE,,
rwe-grad-2027,RWE,Engineering Graduate Programme,Graduate Scheme,Renewable Energy;Mechanical Engineering;Electrical & Electronics,2026-10-01,2027-02-28,FALSE,Swindon;London,https://www.rwe.com/en/careers/students-and-graduates/,not_yet_open,,TRUE,,
centrica-grad-2027,Centrica,Engineering Graduate Programme,Graduate Scheme,Electrical & Electronics;Renewable Energy;Software Engineering;Mechanical Engineering,2026-09-01,2026-12-31,FALSE,Windsor,https://careers.centrica.com/early-careers,not_yet_open,,TRUE,,
abb-grad-2027,ABB,Graduate Programme,Graduate Scheme,Electrical & Electronics;Robotics & Automation;Systems Engineering;Software Engineering,2026-09-01,2027-01-31,FALSE,Various UK,https://careers.abb/global/en/students,not_yet_open,,TRUE,,
schneider-electric-grad-2027,Schneider Electric,Graduate Scheme,Graduate Scheme,Electrical & Electronics;Systems Engineering;Software Engineering;Renewable Energy,2026-09-01,2027-01-31,FALSE,Coventry;London,https://www.se.com/uk/en/about-us/careers/student-opportunities/,not_yet_open,,TRUE,,
wsp-grad-2027,WSP,Graduate Engineer,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics;Renewable Energy,,,TRUE,London;Various UK,https://www.wsp.com/en-GB/careers/graduates,rolling,Roles posted year-round — vacancies fill throughout the year.,TRUE,,
mott-macdonald-grad-2027,Mott MacDonald,Graduate Engineer,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics;Systems Engineering,,,TRUE,Croydon;Various UK,https://www.mottmac.com/careers/graduates,rolling,Rolling intake — apply when roles appear on their site.,TRUE,,
jacobs-grad-2027,Jacobs,Graduate Engineer,Graduate Scheme,Civil Engineering;Mechanical Engineering;Chemical Engineering;Electrical & Electronics,2026-09-01,2027-02-28,FALSE,Various UK,https://careers.jacobs.com/students-and-graduates/,not_yet_open,,TRUE,,
aecom-grad-2027,AECOM,Graduate Engineer,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics,,,TRUE,London;Various UK,https://www.aecom.com/careers/students-and-graduates/,rolling,Roles posted on a rolling basis — check regularly.,TRUE,,
