id,employer,scheme_name,category,disciplines,opening_date,deadline,rolling_basis,locations,url,status,notes,verified,last_verified,last_scraped
rolls-royce-grad-2027,Rolls-Royce,Engineering Graduate Scheme,Graduate Scheme,Aerospace Engineering;Mechanical Engineering;Electrical & Electronics;Software Engineering,2025-09-01,,TRUE,Derby;Bristol;London,https://careers.rolls-royce.com/united-kingdom/graduates,open,,TRUE,2026-06-27,2026-06-27
dyson-grad-2027,Dyson,Graduate Engineer,Graduate Scheme,Mechanical Engineering;Electrical & Electronics;Software Engineering;Systems Engineering,2025-10-01,,TRUE,Malmesbury;Bristol,https://careers.dyson.com/en-gb/graduate,open,,TRUE,2026-06-27,2026-06-27
jlr-grad-2027,Jaguar Land Rover,Graduate Development Programme,Graduate Scheme,Mechanical Engineering;Electrical & Electronics;Software Engineering;Manufacturing Engineering,2025-09-01,,TRUE,Coventry;Solihull;Gaydon,https://www.jaguarlandrover.com/careers/graduates,open,,TRUE,2026-06-27,2026-06-27
network-rail-grad-2027,Network Rail,Engineering Graduate Programme,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics;Systems Engineering,2025-09-01,2026-01-31,FALSE,London;Birmingham;Manchester;Edinburgh,https://www.networkrail.co.uk/careers/early-careers/graduates,open,,TRUE,2026-06-27,2026-06-27
national-grid-grad-2027,National Grid,Engineering Graduate Programme,Graduate Scheme,Electrical & Electronics;Mechanical Engineering;Systems Engineering,2025-10-01,2026-01-15,FALSE,Warwick;London,https://careers.nationalgrid.com/graduates,open,,TRUE,2026-06-27,2026-06-27
arup-grad-2027,Arup,Graduate Engineer,Graduate Scheme,Civil Engineering;Structural Engineering;Mechanical Engineering;Electrical & Electronics,2025-09-01,,TRUE,London;Manchester;Birmingham;Edinburgh,https://www.arup.com/careers/graduates,open,,TRUE,2026-06-27,2026-06-27
mott-macdonald-grad-2027,Mott MacDonald,Graduate Development Programme,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics;Systems Engineering,2025-09-01,,TRUE,London;Croydon;Manchester;Glasgow,https://www.mottmac.com/join-us/graduates,open,,TRUE,2026-06-27,2026-06-27
atkins-grad-2027,AtkinsRealis,Graduate Engineer,Graduate Scheme,Civil Engineering;Mechanical Engineering;Electrical & Electronics;Nuclear Engineering,2025-09-01,,TRUE,London;Manchester;Bristol;Glasgow,https://www.atkinsrealis.com/careers/early-careers,open,,TRUE,2026-06-27,2026-06-27
siemens-grad-2027,Siemens,Graduate Programme,Graduate Scheme,Electrical & Electronics;Software Engineering;Mechanical Engineering;Systems Engineering,2025-10-01,,TRUE,Manchester;Chippenham;Congleton;London,https://www.siemens.co.uk/careers/graduates.html,open,,TRUE,2026-06-27,2026-06-27
bp-grad-2027,BP,Engineering Graduate Programme,Graduate Scheme,Chemical Engineering;Mechanical Engineering;Electrical & Electronics;Software Engineering,2025-09-01,,TRUE,London;Sunbury;Aberdeen,https://www.bp.com/en/global/corporate/careers/students-and-graduates.html,open,,TRUE,2026-06-27,2026-06-27
shell-grad-2027,Shell,Graduate Programme,Graduate Scheme,Chemical Engineering;Mechanical Engineering;Electrical & Electronics;Software Engineering,2025-09-01,,TRUE,London;Aberdeen,https://www.shell.co.uk/careers/students-and-graduates.html,open,,TRUE,2026-06-27,2026-06-27
