id,employer,careers_url,ats_type,disciplines
rolls-royce,Rolls-Royce,https://careers.rolls-royce.com/jobs,Workday,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Software Engineering; Systems Engineering
bae-systems,BAE Systems,https://baesystems.wd3.myworkdayjobs.com/baesystems/jobs,Workday,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Software Engineering; Systems Engineering
airbus,Airbus,https://ag.wd3.myworkdayjobs.com/airbus/jobs,SAP,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
gkn-aerospace,GKN Aerospace,https://gknaerospace.wd3.myworkdayjobs.com/gknaerospace/jobs,Workday,Aerospace Engineering; Mechanical Engineering
leonardo,Leonardo,https://leonardo.taleo.net/careersection/ex/jobsearch.ftl,Taleo,Aerospace Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
mbda,MBDA,https://www.mbda-systems.com/careers,Custom,Aerospace Engineering; Systems Engineering; Electrical & Electronics; Software Engineering
thales-uk,Thales UK,https://www.thalesgroup.com/en/careers,Custom,Aerospace Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
qinetiq,QinetiQ,https://careers.qinetiq.com,Custom,Aerospace Engineering; Systems Engineering; Electrical & Electronics; Software Engineering
babcock,Babcock International,https://babcockinternational.wd3.myworkdayjobs.com/babcockinternational/jobs,Workday,Aerospace Engineering; Mechanical Engineering; Systems Engineering; Civil Engineering
raytheon-uk,Raytheon UK,https://jobs.rtx.com/search-jobs/United%20Kingdom,Workday,Aerospace Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
ultra-electronics,Ultra Electronics,https://www.ultra.group/careers,Custom,Aerospace Engineering; Electrical & Electronics; Systems Engineering
meggitt,Meggitt,https://meggitt.wd3.myworkdayjobs.com/meggitt/jobs,Workday,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics
cobham,Cobham,https://www.cobham.com/careers,Custom,Aerospace Engineering; Electrical & Electronics; Systems Engineering
marshall-aerospace,Marshall Aerospace,https://www.marshallaerospace.com/careers,Custom,Aerospace Engineering; Mechanical Engineering
spirit-aerosystems,Spirit AeroSystems,https://careers.spiritaero.com/jobs,Workday,Aerospace Engineering; Mechanical Engineering
safran-uk,Safran,https://safran.wd3.myworkdayjobs.com/safran/jobs,SAP,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics
collins-aerospace,Collins Aerospace,https://careers.collinsaerospace.com/jobs,Workday,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
